Name,start_year,start_era,end_year,end_era,Area,Occupations,Writing,Religion,Reference
Mesopotamia,3300,BCE,750,BCE,"Sumer, Babylonia, Assyric Highlands","Dairy farming, textile, metal working, potter's wheel, sexagesimal system",Cuneiform,Polytheistic,https://en.wikipedia.org/wiki/Ancient_history
Andean Norte Chico,3200,BCE,1700,BCE,"Peru, Ecuador, Colombia","Maritime Origins, Unique System of Government, Quipu Nazca Lines",None,Polytheistic,https://en.wikipedia.org/wiki/Ancient_history
Andean Chavin,900,BCE,200,BCE,"Peru, Ecuador, Colombia","Maritime Origins, Unique System of Government, Quipu Nazca Lines",None,Polytheistic,https://en.wikipedia.org/wiki/Ancient_history
Andean Nazca,100,CE,800,CE,"Peru, Ecuador, Colombia","Maritime Origins, Unique System of Government, Quipu Nazca Lines",None,Polytheistic,https://en.wikipedia.org/wiki/Ancient_history
Ancient India,3000,BCE,500,BCE,South Asia,"potter's wheel, Agriculture, dams, city planning, Mathematics, temple builders, Astronomy, Astrology, Medicine, literature, Martial arts",Pictographic,Hinduism,https://en.wikipedia.org/wiki/Ancient_history
Egyptian,3000,BCE,30,BCE,North Eastern Africa along River Nile,"Egyptian Pyramids, Mummification, Decimal system, Solar calendar",Hieroglyphic,Ancient Egyptian religion,https://en.wikipedia.org/wiki/Ancient_history
Nubian,3000,BCE,350,BCE,North Eastern Africa along the Nile,"Mud brick temple, pottery, Nubian pyramids, Solar calendar",Hieroglyphic,Ancient Egyptian religion,https://en.wikipedia.org/wiki/Ancient_history
Greek Cycladic and Minoan,2700,BCE,1500,BCE,"Greece (Peloponnese, Epirus, Central Greece, Macedon), later Alexandria","Agriculture, winemaking, architecture poetry, drama, philosophy, history, rhetoric, mathematics, political science, astronomy, physics, chemistry, medicine, warfare",Greek,Ancient Greek religion,https://en.wikipedia.org/wiki/Ancient_history
Mycenaean Greece,1600,BCE,1100,BCE,"Greece (Peloponnese, Epirus, Central Greece, Macedon), later Alexandria","Agriculture, winemaking, architecture poetry, drama, philosophy, history, rhetoric, mathematics, political science, astronomy, physics, chemistry, medicine, warfare",Greek,Ancient Greek religion,https://en.wikipedia.org/wiki/Ancient_history
Ancient Greece,800,BCE,100,BCE,"Greece (Peloponnese, Epirus, Central Greece, Macedon), later Alexandria","Agriculture, winemaking, architecture poetry, drama, philosophy, history, rhetoric, mathematics, political science, astronomy, physics, chemistry, medicine, warfare",Greek,Ancient Greek religion,https://en.wikipedia.org/wiki/Ancient_history
Ancient China,1600,BCE,221,BCE,China,"Silk, Pottery, Chinaware, Metals, Great Wall, Paper",Chinese,"Chinese Folk Religion, Confucianism",https://en.wikipedia.org/wiki/Ancient_history
Early Imperial China,221,BCE,581,CE,China,"Silk, Pottery, Chinaware, Metals, Great Wall, Paper",Chinese,"Chinese Folk Religion, Confucianism",https://en.wikipedia.org/wiki/Ancient_history
Mesoamerica Olmecs,1500,BCE,400,BCE,"Southern Mexico, Guatemala","Agriculture, Olmec colossal heads, Mesoamerican calendars, Popcorn, Bloodletting Agriculture, Maya textiles","Cascajal Block, Maya script",Mesoamerican religion,https://en.wikipedia.org/wiki/Ancient_history
Mesoamerica Maya,250,CE,900,CE,"Southern Mexico, Guatemala","Agriculture, Olmec colossal heads, Mesoamerican calendars, Popcorn, Bloodletting Agriculture, Maya textiles","Cascajal Block, Maya script",Mesoamerican religion,https://en.wikipedia.org/wiki/Ancient_history
Iranian,730,BCE,640,CE,Greater Iran,"Agriculture, architecture, landscaping, postal service","Cuneiform, Pahlavi",Zoroastrianism,https://en.wikipedia.org/wiki/Ancient_history
Roman,600,BCE,600,CE,"Italy, spread across Europe and North Africa","Agriculture, Roman calendar, concrete",Latin,Religion in ancient Rome,https://en.wikipedia.org/wiki/Ancient_history
