event,startYearsAgo,endYearsAgo,reference
Faint young Sun paradox,4600000000,1000000000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Great Oxygenation Event probably leads to Huronian glaciation perhaps covering the whole globe,2400000001,2400000000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Later Neoproterozoic Snowball Earth or Marinoan glaciation, precursor to the Cambrian Explosion",650000000,600000000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"End-Botomian mass extinction; like the next two, little understood",517000001,517000000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Dresbachian extinction event,502000001,502000000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Cambrian–Ordovician extinction event,485400001,485400000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Ordovician–Silurian extinction event, in two bursts, after cooling perhaps caused by tectonic plate movement",450000000,440000000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Andean-Saharan glaciation,450000001,450000000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Karoo Ice Age,360000000,260000000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
cooler climate causes Carboniferous Rainforest Collapse,305000001,305000000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Permian-Triassic extinction event,251902001,251902000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Triassic–Jurassic extinction event, causes as yet unclear",199600001,199600000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"perhaps 30,000 years of volcanic activity form the Deccan Traps in India, Or a large meteor impact.",66000001,66000000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Cretaceous–Paleogene boundary and Cretaceous–Paleogene extinction event, extinction of dinosaurs",66000001,66000000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Paleocene-Eocene Thermal Maximum,55800001,55800000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Eocene Thermal Maximum 2,53700001,53700000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Azolla event may have ended a long warm period,49000001,49000000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Pliocene climate became cooler and drier, and seasonal, similar to modern climates.",5300000,2600000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Quaternary glaciation, with permanent ice on the polar regions, many named stages in different parts of the world",2500000,0,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Abbassia Pluvial wet in North Africa,120000,90000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Last glacial period, not to be confused with the Last Glacial Maximum or Late Glacial Maximum below",110000,10000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Mousterian Pluvial wet in North Africa,50000,30000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Last Glacial Maximum, what is often meant in popular usage by ""Last Ice Age""",26500,19000,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
