"Era","End_million_years_ago","Start_million_years_ago","Start_years_ago","End_years_ago","Start_elapsed_time","End_elapsed_time","back_colour"
"Cenozoic",0,66,6.6e+07,0,4.534e+09,4.6e+09,"#fedea3"
"Mesozoic",66,251.902,251902000,6.6e+07,4348098000,4.534e+09,"#c9e8ea"
"Paleozoic",251.902,541,5.41e+08,251902000,4.059e+09,4348098000,"#fcd3c1"
"Neoproterozoic",541,1000,1e+09,5.41e+08,3.6e+09,4.059e+09,"#dcc8c1"
"Mesoproterozoic",1000,1600,1.6e+09,1e+09,3e+09,3.6e+09,"#e8d8c8"
"Paleoproterozoic",1600,2500,2.5e+09,1.6e+09,2.1e+09,3e+09,"#e8d9d4"
"Neoarchean",2500,2800,2.8e+09,2.5e+09,1.8e+09,2.1e+09,"#b3bbbe"
"Mesoarchean",2800,3200,3.2e+09,2.8e+09,1.4e+09,1.8e+09,"#bfc8cd"
"Paleoarchean",3200,3600,3.6e+09,3.2e+09,1e+09,1.4e+09,"#cacfd2"
"Eoarchean",3600,4000,4e+09,3.6e+09,6e+08,1e+09,"#dbdfe2"
"Early Imbrian (Neohadean) (unofficial)",4000,4130,4.13e+09,4e+09,4.7e+08,6e+08,"#c9ddde"
"Nectarian (Mesohadean) (unofficial)",4130,4280,4.28e+09,4.13e+09,3.2e+08,4.7e+08,"#cddfe1"
"Basin Groups (Paleohadean) (unofficial)",4280,4533,4.533e+09,4.28e+09,6.7e+07,3.2e+08,"#d9e7e7"
"Cryptic (Eohadean) (unofficial)",4533,4600,4.6e+09,4.533e+09,0,6.7e+07,"#e9f1f3"
