"Name","start_year","start_era","end_year","end_era","Area","Occupations","Writing","Religion","Reference","startYearsElapsed","endYearsElapsed"
"Mesopotamia",3300,"BCE",750,"BCE","Sumer, Babylonia, Assyric Highlands","Dairy farming, textile, metal working, potter's wheel, sexagesimal system","Cuneiform","Polytheistic","https://en.wikipedia.org/wiki/Ancient_history",4599994680,4599997230
"Andean Norte Chico",3200,"BCE",1700,"BCE","Peru, Ecuador, Colombia","Maritime Origins, Unique System of Government, Quipu Nazca Lines","None","Polytheistic","https://en.wikipedia.org/wiki/Ancient_history",4599994780,4599996280
"Andean Chavin",900,"BCE",200,"BCE","Peru, Ecuador, Colombia","Maritime Origins, Unique System of Government, Quipu Nazca Lines","None","Polytheistic","https://en.wikipedia.org/wiki/Ancient_history",4599997080,4599997780
"Andean Nazca",100,"CE",800,"CE","Peru, Ecuador, Colombia","Maritime Origins, Unique System of Government, Quipu Nazca Lines","None","Polytheistic","https://en.wikipedia.org/wiki/Ancient_history",4599998080,4599998780
"Ancient India",3000,"BCE",500,"BCE","South Asia","potter's wheel, Agriculture, dams, city planning, Mathematics, temple builders, Astronomy, Astrology, Medicine, literature, Martial arts","Pictographic","Hinduism","https://en.wikipedia.org/wiki/Ancient_history",4599994980,4599997480
"Egyptian",3000,"BCE",30,"BCE","North Eastern Africa along River Nile","Egyptian Pyramids, Mummification, Decimal system, Solar calendar","Hieroglyphic","Ancient Egyptian religion","https://en.wikipedia.org/wiki/Ancient_history",4599994980,4599997950
"Nubian",3000,"BCE",350,"BCE","North Eastern Africa along the Nile","Mud brick temple, pottery, Nubian pyramids, Solar calendar","Hieroglyphic","Ancient Egyptian religion","https://en.wikipedia.org/wiki/Ancient_history",4599994980,4599997630
"Greek Cycladic and Minoan",2700,"BCE",1500,"BCE","Greece (Peloponnese, Epirus, Central Greece, Macedon), later Alexandria","Agriculture, winemaking, architecture poetry, drama, philosophy, history, rhetoric, mathematics, political science, astronomy, physics, chemistry, medicine, warfare","Greek","Ancient Greek religion","https://en.wikipedia.org/wiki/Ancient_history",4599995280,4599996480
"Mycenaean Greece",1600,"BCE",1100,"BCE","Greece (Peloponnese, Epirus, Central Greece, Macedon), later Alexandria","Agriculture, winemaking, architecture poetry, drama, philosophy, history, rhetoric, mathematics, political science, astronomy, physics, chemistry, medicine, warfare","Greek","Ancient Greek religion","https://en.wikipedia.org/wiki/Ancient_history",4599996380,4599996880
"Ancient Greece",800,"BCE",100,"BCE","Greece (Peloponnese, Epirus, Central Greece, Macedon), later Alexandria","Agriculture, winemaking, architecture poetry, drama, philosophy, history, rhetoric, mathematics, political science, astronomy, physics, chemistry, medicine, warfare","Greek","Ancient Greek religion","https://en.wikipedia.org/wiki/Ancient_history",4599997180,4599997880
"Ancient China",1600,"BCE",221,"BCE","China","Silk, Pottery, Chinaware, Metals, Great Wall, Paper","Chinese","Chinese Folk Religion, Confucianism","https://en.wikipedia.org/wiki/Ancient_history",4599996380,4599997759
"Early Imperial China",221,"BCE",581,"CE","China","Silk, Pottery, Chinaware, Metals, Great Wall, Paper","Chinese","Chinese Folk Religion, Confucianism","https://en.wikipedia.org/wiki/Ancient_history",4599997759,4599998561
"Mesoamerica Olmecs",1500,"BCE",400,"BCE","Southern Mexico, Guatemala","Agriculture, Olmec colossal heads, Mesoamerican calendars, Popcorn, Bloodletting Agriculture, Maya textiles","Cascajal Block, Maya script","Mesoamerican religion","https://en.wikipedia.org/wiki/Ancient_history",4599996480,4599997580
"Mesoamerica Maya",250,"CE",900,"CE","Southern Mexico, Guatemala","Agriculture, Olmec colossal heads, Mesoamerican calendars, Popcorn, Bloodletting Agriculture, Maya textiles","Cascajal Block, Maya script","Mesoamerican religion","https://en.wikipedia.org/wiki/Ancient_history",4599998230,4599998880
"Iranian",730,"BCE",640,"CE","Greater Iran","Agriculture, architecture, landscaping, postal service","Cuneiform, Pahlavi","Zoroastrianism","https://en.wikipedia.org/wiki/Ancient_history",4599997250,4599998620
"Roman",600,"BCE",600,"CE","Italy, spread across Europe and North Africa","Agriculture, Roman calendar, concrete","Latin","Religion in ancient Rome","https://en.wikipedia.org/wiki/Ancient_history",4599997380,4599998580
