"Supercontinent","startAge_Mya","endAge_Mya","startElapsedYears","endElapsedYears"
"Vaalbara",3636,2803,9.64e+08,1.797e+09
"Ur",2803,2408,1.797e+09,2.192e+09
"Kenorland",2720,2114,1.88e+09,2.486e+09
"Arctica",2114,1995,2.486e+09,2.605e+09
"Atlantica",1991,1124,2.609e+09,3.476e+09
"Columbia (Nuna)",1820,1350,2.78e+09,3.25e+09
"Rodinia",1130,750,3.47e+09,3.85e+09
"Pannotia",633,573,3.967e+09,4.027e+09
"Gondwana",596,578,4.004e+09,4.022e+09
"Laurasia and Gondwana",472,451,4.128e+09,4.149e+09
"Pangaea",336,173,4.264e+09,4.427e+09
